År;Månad;Företag;M;FP;C;KD;S;V;MP;SD;Övriga;M FP C KD (1);S V MP (2);(1) - (2);Osäkra;Publicerad;Intervjperiod;Intervjuer;FI;PP;;
2009;Juni;United Minds;24,0;7,6;5,5;3,8;32,0;5,7;10,5;4,7;6;40,9;48,2;-7,3;5,0;23 juni;8 - 22 juni;2 069;;3,9;;
2009;Juni;SCB;29,9;5,5;5,5;4,3;36,6;5,7;6,0;3,0;3,4;45,2;48,3;-3,1;;17 juni;28 april - 1 juni;6 506;;2,6;;
2009;Juni;Sifo;28,2;8,8;5,0;4,2;32,8;5,2;8,5;3,1;4,2;46,2;46,5;-0,3;13,5;14 juni;1-11 juni;1 897;;2,7;;
2009;Juni;Demoskop;33,1;6,6;4,8;5,0;33,6;5,2;5,5;4,5;1,8;49,5;44,3;5,2;11,9;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Maj;Skop;31,6;6,4;5,0;4,5;33,4;5,3;7,8;3,8;2,2;47,5;46,5;1,0;9,0;29 maj;4 - 19 maj;1 177;;;;
2009;Maj;Synovate;29,3;6,8;6,1;4,5;33,7;7,0;6,5;3,6;2,6;46,7;47,2;-0,5;21,1;29 maj;7 - 27 maj;2 441;;;;
2009;Maj;United Minds;28,0;6,7;5,3;4,8;31,1;6,7;9,0;4,6;3,9;44,8;46,8;-2,0;4,2;26 maj;28 april - 25 maj;1 064;;3,0;;
2009;Maj;Novus;29,5;6,5;5,4;4,3;34,6;7,4;7,3;2,6;2,4;45,7;49,3;-3,6;14,9;23 maj;5 - 18 maj;2 035;;;;
2009;Maj;Sifo;28,8;6,4;5,8;4,1;34,8;5,8;8,1;3,0;3,3;45,1;48,7;-3,6;16,2;17 maj;4 - 14 maj;1 898;;;;
2009;Maj;Demoskop;34,5;5,4;4,3;3,7;34,2;6,1;6,6;3,4;1,7;47,9;46,9;1,0;15,0;9 maj;29 april - 6 maj;1 007;;;;
2009;Maj;Novus;29,6;5,2;5,4;4,5;35,0;7,3;6,7;4,4;1,9;44,7;49,0;-4,3;12,5;1 maj;14-27 april;1 942;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;April;Synovate;32,1;5,6;5,7;3,8;33,5;7,3;6,4;3,6;2,1;47,2;47,2;0,0;21,1;24 april;7 - 22 april;2 666;;;;
2009;April;Skop;33,2;6,5;7,0;3,9;33,8;6,7;5,0;3,2;0,6;50,6;45,5;5,1;8,0;19 april;1 - 18 april;1 092;;;;
2009;April;Sifo;30,6;6,8;5,8;4,1;34,6;5,3;8,6;2,8;1,5;47,3;48,5;-1,2;12,5;19 april;6 - 16 april;1 914;;;;
2009;April;Skop;33,4;6,0;6,1;3,3;33,9;5,6;6,7;3,6;1,5;48,8;46,2;2,6;7,0;4 april;26 febr-1 april;1 076;;;;
2009;April;Demoskop;35,5;7,3;3,4;3,8;30,9;6,8;7,5;4,2;0,6;50,0;45,2;4,8;14,2;4 april;25 mars - 2 april;1 000;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Mars;Synovate;29,3;6,8;5,7;4,2;37,5;7,0;5,1;3,3;1,1;46,0;49,6;-3,6;17,1;28 mars;10-25 mars;2 475;;;;
2009;Mars;Novus;29,3;6,1;5,4;4,7;36,2;6,7;6,1;4,0;1,6;45,5;49,0;-3,5;9,8;21 mars;3-16 mars;2 000;;;;
2009;Mars;Sifo;31,1;5,6;6,3;3,3;37,5;5,5;6,6;2,6;1,4;46,3;49,6;-3,3;14,1;15 mars;2 - 12 mars;1 909;;;;
2009;Mars;Demoskop;26,5;8,4;6,0;3,6;39,5;7,2;6,0;2,1;0,7;44,5;52,7;-8,2;14,2;11 mars;25 febr-3 mars;1 004;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Februari;Synovate;28,8;7,1;5,2;4,9;38,1;5,6;6,3;2,9;1;46,0;50,0;-4,0;20,5;28-Feb;10-25 febr;2 480;;;;
2009;Februari;Skop;27,5;7,3;7,1;4,5;35,5;6,2;7,2;2,7;2,1;46,4;48,9;-2,5;8,0;23-Feb;25 jan - 19 febr;1 092;;;;
2009;Februari;Novus;27,3;7,2;5,3;3,4;36,7;6,4;7,5;4,1;2;43,2;50,6;-7,4;11,4;21-Feb;3-16 febr;2 000;;;;
2009;Februari;Sifo;26,2;7,7;5,9;4,3;37,9;5,6;7,7;3,5;1,2;44,1;51,2;-7,1;16,1;15-Feb;2 - 12 febr;1 915;;;;
2009;Februari;Demoskop;29,0;6,5;5,0;4,2;40,2;5,2;6,6;2,3;1,1;44,7;52,0;-7,3;12,3;08-Feb;28 jan - 4 febr;1 001;;;;
;;;;;;;;;;;;;;;;;;;;;;
2009;Januari;Synovate;26,8;5,9;6,0;4,1;40,1;6,0;6,0;3,7;1,3;42,8;52,1;-9,3;18,5;30 jan;13-28 jan;2 686;;;;
2009;Januari;Sifo;27,3;6,7;5,9;4,4;37,7;5,7;6,6;4,3;1,5;44,3;50,0;-5,7;15,8;25 jan;12-22 jan;1 900;;;;
2009;Januari;Sentio;25,4;6,5;5,5;3,8;40,3;6,1;7,3;2,2;3,1;41,2;53,7;-12,5;;24 jan;6-18 jan;1 930;;;;
2009;Januari;Novus;25,5;6,1;5,7;5,1;38,8;6,7;7,6;3,0;1,6;42,4;53,1;-10,7;12,6;24 jan;6-19 jan;2 000;;;;
2009;Januari;Demoskop;31,5;6,1;5,2;2,5;38,1;6,8;6,6;2,5;0,6;45,3;51,5;-6,2;14,8;11 jan;2-8 jan;1 009;;;;
2009;Januari;Skop;27,1;6,9;6,3;4,3;36,4;6,2;7,3;3,4;2,2;44,6;49,9;-5,3;9,0;11 jan;11 dec-7 jan;1 002;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;December;Novus;27,9;5,8;6,2;4,2;37,8;7,2;7,3;2,3;1,4;44,1;52,3;-8,2;9,6;25 dec;2-15 dec;2 000;;;;
2008;December;Synovate;26,7;6,5;5,9;4,5;40,0;7,2;5,6;2,6;0,9;43,6;52,8;-9,2;19,9;20 dec;8 - 17 dec;1 688;;;;
2008;December;Sifo;27,2;7,1;5,5;4,0;37,1;6,5;7,4;4,5;0,8;43,8;51,0;-7,2;15,1;14 dec;1-11 dec;1 896;;;;
2008;December;SCB;24,8;6,0;5,9;4,6;42,3;5,7;6,1;3,2;1,5;41,3;54,1;-12,8;;10 dec;27 okt --24 nov;6 900;;;;
2008;December;Demoskop;29,1;6,8;4,0;3,2;39,7;7,7;6,3;2,3;1;43,1;53,7;-10,6;11,9;7 dec;26 nov - 3 dec;1 011;;;;
2008;December;Skop;26,1;7,6;7,3;5,9;37,4;5,4;7,2;2,6;0,6;46,9;50,0;-3,1;6,0;1 dec;27 okt - 26 nov;1 055;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;November;Synovate;25,2;5,5;5,7;4,4;42,3;5,3;6,5;3,6;1,5;40,8;54,1;-13,3;18,6;28 nov;10 - 26 nov;2 672;;;;
2008;November;Novus;25,5;7,3;5,3;4,3;37,2;6,6;7,7;4,1;2;42,4;51,5;-9,1;9,8;22 nov;4-17 nov;2 000;;;;
2008;November;Sifo;25,8;6,9;6,3;4,2;39,6;4,7;7,5;4,2;0,8;43,2;51,8;-8,6;13,7;16 nov;3 - 13 nov;1 895;;;;
2008;November;Skop;23,6;7,3;6,8;5,5;36,8;7,7;6,2;4,7;1,5;43,2;50,7;-7,5;7,0;7 nov;22 sept - 26 okt;1 082;;;;
2008;November;Demoskop;29,0;6,4;5,4;4,4;39,1;5,7;5,7;3,4;0,9;45,2;50,5;-5,3;11,9;7 nov;29 okt - 4 nov;1 006;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;Oktober;Synovate;26,1;7,3;5,6;3,3;39,5;7,4;7,3;2,3;1,2;42,3;54,2;-11,9;19,6;31 okt;14-29 okt;2 449;;;;
2008;Oktober;Sifo;24,6;6,2;6,7;4,1;42,5;5,4;6,4;3,5;0,7;41,6;54,3;-12,7;13,9;19 okt;6-16 ookt;1 889;;;;
2008;Oktober;Novus;22,8;6,2;5,5;4,3;40,8;6,1;6,4;3,8;4;38,8;53,3;-14,5;10,4;18 okt;30 sept - 13 okt;2 000;;;;
2008;Oktober;Synovate;24,0;6,6;7,0;3,7;42,5;5,9;5,6;3,4;1,3;41,3;54,0;-12,7;19,1;18 okt;29 sept - 16 okt;2 954;;;;
2008;Oktober;Demoskop;28,4;4,9;4,5;3,2;44,9;4,3;4,8;4,5;0,5;41,0;54,0;-13,0;14,3;7 okt;24 sept - 1 okt;1 002;;;;
;;;;;;;;;;;;;;;;;;;;;;
2008;September;Synovate;21,6;6,5;6,1;3,7;45,7;5,1;6,2;3,8;1,2;37,9;57,0;-19,1;19,3;26 sept;8 - 24 sept;2 694;;;;
2008;September;Skop;22,4;8,3;7,6;5,3;40,2;5,6;6,3;3,7;0,5;43,6;52,1;-8,5;5,0;15 sept;18 aug - 10 sept;1 176;;;;
2008;September;Sifo;21,2;7,5;6,0;4,9;42,5;5,6;6,4;4,4;1,5;39,6;54,5;-14,9;13,6;14 sept;1 - 11 sept;1 905;;;;
