År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2014,Juli,Sentio Research,20.8,6.1,3.7,5.5,29.9,8.5,8.3,,,13.5,3.7,13,17 juli,10 - 16 juli,1043
2014,Juli,Demoskop,19.4,6.5,4.5,4.2,31.5,7.2,13.6,2.8,,9.2,4,15.9,4 juli,24 juni - 2 juli,1252
2014,Juli,United Minds,22.8,5,4.8,4.4,28,7.5,11.9,4,,10.5,5.2,12.4,2 juli,9 - 30 juni,1159
,,,,,,,,,,,,,,,,,
2014,Juni,Ipsos,20.5,6.3,5.6,3.3,31.1,7.4,11.3,3.7,,9.6,5,14.4,28 juni,2 - 22 juni,2241
2014,Juni,Novus,21.2,6.8,5.6,4.4,32.1,6.7,11.3,2.9,,8.3,3.5,14.2,28 juni,26 maj - 22 juni,2001
2014,Juni,Sentio Research,23,5.6,4.8,3.6,34,6.3,9.7,,,12.5,0.5,9.6,20 juni,12 - 19 juni,1046
2014,Juni,Skop,24.2,7.3,4.9,3.2,31.9,6.7,12,1.8,,7.8,2,10,17 juni,29 maj - 15 juni,1002
2014,Juni,Sifo,21.2,6.8,5.5,3.5,29.4,6.4,13,3.4,,9,5.3,9.9,15 juni,2 - 12 juni,1922
2014,Juni,United Minds,19.7,5.8,3.5,4.9,30.8,9.5,11.2,2.1,,11.3,3.2,12.1,9 juni,12 maj - 8 juni,1099
2014,Juni,YouGov,24.8,5.1,4.8,5,31.2,8.5,8.3,3.6,,8.2,4.2,,9 juni,7 maj - 3 juni,1379
2014,Juni,Demoskop,18.5,5.7,5.3,4.8,29.1,8.1,13,4.4,,10,5.5,18.5,6 juni,27 maj - 4 juni,1250
,,,,,,,,,,,,,,,,,
2014,Maj,Ipsos,22.6,5.8,4.3,4.5,31.3,8.7,10.2,3.9,,7.8,4.8,16.6,30 maj,8 - 25 maj,2257
2014,Maj,Novus,24.3,6,3.9,4.2,32.4,8.3,10.1,2.1,,7.7,3.1,15.9,29 maj,28 april - 25 maj,2000
2014,Maj,SCB,22.7,5.3,4.9,3.9,35.3,8,8,2.5,,8.1,3.9,21,27 maj,2 - 25 maj,4758
2014,Maj,Sifo,23.2,7,5,3.5,30.9,7.3,10.3,2.9,,8.8,4.1,12.4,15 maj,5 - 15 maj,2888
2014,Maj,Sentio Research,24.5,4.5,2.8,4.5,32.6,9.2,9,,,11.7,1.2,10.8,15 maj,8 - 14 maj,1046
2014,Maj,United Minds,21.6,6.1,3.3,3.2,34.6,8.9,8.5,,,10.7,3,12.5,12 maj,7 april - 11 maj,1441
2014,Maj,YouGov,22.2,6.2,3.9,4.1,33.3,8.7,6.9,2.6,,10.6,4.2,,12 maj,9 april - 6 maj,1423
2014,Maj,Demoskop,22.6,6,4.3,3.9,32.2,8.7,10.2,3,,8.2,4,20.2,9 maj,29 april - 7 maj,1250
2014,Maj,Skop,23.4,7.8,4.5,2.7,34.9,6.4,10.7,1.3,,7.3,2.4,8,2 maj,26 mars - 24 april,1073
,,,,,,,,,,,,,,,,,
2014,April,Ipsos,24.6,5.4,3.6,3,33.1,9.4,9.9,,,7.6,3.4,18.5,30-Apr,7 - 27 april,2252
2014,April,Novus,23.7,5.4,4,3.6,33.5,7.6,10.8,1.8,,8.8,2.6,16,24-Apr,24 mars - 20 april,2004
2014,April,Sentio Research,21.9,7.1,3.9,3.9,34.2,8.8,8.3,,,10.9,1,,23-Apr,9 - 16 april,1043
2014,April,YouGov,23.3,5,4.3,3.8,33,8.1,8.4,,,11.4,2.7,,14-Apr,5 mars - 8 april,1761
2014,April,Sifo,24.5,6.7,3.8,3.6,32.1,8.4,10.6,,,8.3,2.2,15,13-Apr,31 mars - 10 april,1933
2014,April,United Minds,22.4,6.3,4.4,3.5,33.4,7.3,9.2,,,10.7,2.8,13.7,07-Apr,10 mars - 6 april,1126
2014,April,Demoskop,24,5.9,3.7,3.7,33,8.2,10.7,,,8.5,2.3,22.2,05-Apr,25 mars - 3 apr,1254
,,,,,,,,,,,,,,,,,
2014,Mars,Ipsos,23.6,6.9,4.1,3.7,33.5,7.6,10.4,,,7.8,2.5,17.3,28 mars,6 - 25 mars,2254
2014,Mars,Novus,25.1,6.3,3.6,3.9,34.3,6.5,9.2,,,9.3,1.8,19.5,27 mars,24 feb - 23 mars,2002
2014,Mars,Sentio Research,22.7,5.1,4,2.7,33.2,9.1,8.3,,,13.1,1.8,,19 mars,6 - 13 mars,1058
2014,Mars,Sifo,24.2,5.4,4.7,4.7,34.1,6.3,10.1,,,8,2.5,13.1,16 mars,3 - 13 mars,1934
2014,Mars,United Minds,22.7,6.7,4.8,3.5,33,7,10.4,,,9.4,2.6,,10 mars,10 feb - 9 mars,1098
2014,Mars,YouGov,23.7,5.2,4.6,3.9,33,8.3,8.6,,,11.5,1.4,,10 mars,5 feb - 4 mars,1422
2014,Mars,Demoskop,22.6,5.1,3.6,3.3,32.7,8.4,12.5,,,10,1.8,14.3,7 mars,25 feb - 5 mars,1251
2014,Mars,Skop,26.5,4.6,4.1,3.1,33.8,8,9.9,,,8.2,1.7,9,5 mars,9 feb - 4 mars,1109
2014,Mars,Ipsos,24.7,6,3.5,3.5,35.1,7.9,9,,,7.9,2.3,17.5,1 mars,6 - 25 feb,2252
,,,,,,,,,,,,,,,,,
2014,Februari,Novus,25.7,4.7,4.2,3.8,33.3,8.4,9.7,,,8.7,1.5,18.6,27-Feb,27 jan - 23 feb,2001
2014,Februari,Sifo,22.8,6.7,2.8,3.7,34.9,8.2,9.7,,,9.5,1.6,14.1,18-Feb,3 - 13 feb,1933
2014,Februari,Sentio Research,22.5,5.3,5.1,3.7,32.4,8.7,7.6,,,13.3,1.5,27.4,12-Feb,6 - 11 feb,1034
2014,Februari,United Minds,21.6,7,3.8,4.4,31.2,8.2,10.2,,,11.2,2.4,12,10-Feb,13 jan - 9 feb,1123
2014,Februari,Demoskop,24.9,5,4.3,4,34.5,7.3,9.6,,,8.8,1.7,21.5,10-Feb,28 jan - 5 feb,1256
2014,Februari,YouGov,25,6,4.4,3.5,32.3,9.3,8,,,10.3,1.3,,10-Feb,8 jan - 4 feb,1420
,,,,,,,,,,,,,,,,,
2014,Januari,Ipsos,25,6.4,3.1,3.4,34,9.1,9.9,,,7.3,1.7,15,31-Jan,9 -28 jan,2259
2014,Januari,Novus,24.5,5.1,3.5,3.5,33.8,8.1,9.2,,,11,1.3,18.5,30-Jan,6 -26 jan,2000
2014,Januari,Sifo,25.4,6.5,3.7,3.3,32.9,8.3,9.4,,,9.2,1.3,14.3,26-Jan,13 - 23 jan,1930
2014,Januari,Sentio Research,23.7,4.8,4.6,3.8,32.6,8.9,7.8,,,12.8,1,,16-Jan,9 - 15 jan,1013
2014,Januari,Skop,27.2,6.3,4.5,3.1,32.7,7,9.7,,,8.4,1,8,15-Jan,9 dec - 7 jan,1012
2014,Januari,United Minds,24,6.1,4.5,3.3,32.5,8.4,8.9,,,10.8,1.5,12.3,13-Jan,9 dec - 12 jan,1403
2014,Januari,YouGov,25.7,5.7,5.2,4.3,31.9,7.6,7.9,,,10,1.7,,13-Jan,4 dec - 7 jan,1778
2014,Januari,Demoskop,22.3,5.8,4.5,3.6,34.7,6.5,11.1,,,9.8,1.8,21.5,10-Jan,2 - 8 jan,1252
,,,,,,,,,,,,,,,,,
2013,December,Ipsos,25.1,5.5,4.8,3.8,32.8,7,10.6,,,8.2,2.1,17.5,23-Dec,28 nov - 17 dec,2254
2013,December,Novus,25,5.5,3.9,4.1,34.2,6.4,9.3,,,10.4,1.2,18.9,19-Dec,25 nov - 15 dec,2501
2013,December,Sifo,25.2,5.5,4.4,3.6,32.5,7.8,11,,,9.3,0.8,10.9,15-Dec,2 - 12 dec,1925
2013,December,Sentio Research,23.6,5.6,4.6,3.7,31.5,7.7,8.3,,,13.7,1.3,,12-Dec,5 - 11 dec,1041
2013,December,United Minds,24.1,7.6,4,4.6,32.4,8,8,,,10,1.4,12,09-Dec,11 nov - 8 dec,1107
2013,December,YouGov,23.8,6.3,3,3.7,33.1,7.2,9.2,,,12.8,1,,09-Dec,6 nov - 3 dec,
2013,December,Demoskop,23.4,7,3.5,4.2,33.1,8.3,8.3,,,10.5,1.6,15.8,08-Dec,26 nov - 4 dec,1252
2013,December,SCB,25.5,5.4,4.7,4.1,34.3,6.7,8.8,,,9.3,1.3,,04-Dec,3 - 27 nov,5267
,,,,,,,,,,,,,,,,,
2013,November,Ipsos,25.3,6.2,4.2,3.7,33.4,7.1,10.1,,,8.5,1.4,17.8,29-Nov,7 - 26 nov,2254
2013,November,Novus,24.2,6.2,4.3,4.4,33.9,7.2,9.1,,,9.4,1.3,17.3,28-Nov,28 okt - 24 nov,2001
2013,November,Sifo,25,5.9,4.1,3.9,34.5,7.3,9.1,,,9,1.2,14.2,17-Nov,4 - 14 nov,1901
2013,November,Sentio Research,25.9,4.5,3.9,4.1,30.9,7.9,9.3,,,12.8,0.7,,16-Nov,6 - 12 nov,1045
2013,November,YouGov,25.8,6,4.5,3,32.5,7.5,8.3,,,11.3,1,,11-Nov,10 okt - 5 nov,1427
2013,November,United Minds,25.8,6.7,4.1,4.4,30.9,7.1,9.6,,,10.8,0.7,13,11-Nov,14 okt - 10 nov,1125
2013,November,Demoskop,25.6,5.3,3,3.9,31.1,6.4,11.8,,,11.9,1,19,08-Nov,29 okt - 6 nov,1250
2013,November,Skop,25.6,5.9,3.5,3.6,35.2,6.9,8.9,,,9.3,1.3,7,08-Nov,14 okt - 4 nov,1038
2013,November,Ipsos,27.4,5.3,4,3.2,34,6.3,9.6,,,8.5,1.8,17.1,02-Nov,10 - 29 okt,2200
,,,,,,,,,,,,,,,,,
2013,Oktober,Novus,26,5.2,3,4.5,34.8,6,8.8,,,10.1,1.6,19.1,31 okt,30 sept - 27 okt,2000
2013,Oktober,Sentio Research,25.4,5.2,4.5,2.8,29.9,8.1,8.4,,,14.1,1.6,,26 okt,10 - 17 okt,1016
2013,Oktober,United Minds,23.6,5,5.9,3.3,33.7,6.2,9.4,,,11.1,1.9,12.5,14 okt,16 sept - 13 okt,1050
2013,Oktober,YouGov,25.6,4.7,5.6,3.9,31.2,6.7,8.6,,,12.9,0.8,,14 okt,4 sept - 8 okt,1756
2013,Oktober,Sifo,25,6,3.8,4,35.6,6.4,7.9,,,9.7,1.6,16.5,13 okt,30 sept - 10 okt,1908
2013,Oktober,Demoskop,26.6,5.2,4.2,3.1,33.2,6.6,10.1,,,9.9,1.2,17.1,4 okt,24 sept - 2 okt,1251
2013,Oktober,Novus,26.5,4.6,3.4,4.3,35.1,6.7,8.3,,,10,1.1,19.6,3 okt,2 - 29 sept,2000
,,,,,,,,,,,,,,,,,
2013,September,Ipsos,24.7,6.1,3.5,4.5,34.4,7,10.3,,,8.5,1.1,18.2,30-Sep,5 - 24 sept,2353
2013,September,Sentio Research,24.7,6.4,4.2,3.9,31.7,6.9,8.8,,,11.8,1.6,10,22-Sep,12 - 18 sept,1033
2013,September,Skop,26.6,6.7,4.2,3.2,31.7,6.3,10.8,,,9.4,1.2,8,17-Sep,28 aug - 12 sept,1000+
2013,September,United Minds,25.3,5.3,3.4,4.2,32.6,6.2,9.4,,,12.1,1.6,14.2,15-Sep,16 aug - 15 sept,1208
2013,September,Sifo,25.7,6.3,3.6,3.6,33.5,6.4,10,,,9.4,1.5,13.2,15-Sep,2 - 12 sept,1924
2013,September,Demoskop,25.1,6.6,4.5,3.7,31.7,7.1,10.1,,,10.1,1.1,17.9,09-Sep,27 aug - 3 sept,1250
2013,September,YouGov,25.8,5.3,4.9,3,30.8,8.2,8.8,,,11.4,1.8,,09-Sep,7 aug - 3 sept,1414
2013,September,Novus,24.6,6.5,4.6,4.6,34.3,7.3,8.6,,,8.5,1,16.7,06-Sep,5 aug - 1 sept,2000
2013,September,Ipsos,25.6,5.8,4.1,3.5,34.4,6.9,9.7,,,8.4,1.6,17.7,02-Sep,8 - 27 aug,2270
,,,,,,,,,,,,,,,,,
2013,Augusti,Sentio Research,25.4,4.5,4.8,4.1,29.5,7.3,8.1,,,14.6,1.7,14.6,26-Aug,15 - 22 aug,1022
2013,Augusti,Sifo,26.6,5.9,4,3.8,30.5,6.5,10.9,,,9.9,1.9,14.9,25-Aug,12 - 22 aug,1916
2013,Augusti,United Minds,24.5,4.6,4.9,4.5,33.2,6.1,9.1,,,11.3,1.9,,17-Aug,22 juli - 15 aug,1028
2013,Augusti,YouGov,28.4,5.4,3.6,4,30.8,7.4,9.3,,,9.9,1.1,,12-Aug,3 juli - 6 aug,1761
2013,Augusti,YouGov,26.5,6.7,3.2,3,30.9,8.4,9.5,,,11.2,0.6,,12-Aug,5 juni - 2 juli,1407
2013,Augusti,Novus,26.2,5.4,3.9,4,34.1,6.3,9.7,,,9,1.4,16.9,07-Aug,8 juli - 4 aug,2000
,,,,,,,,,,,,,,,,,
2013,Juli,Sentio Research,25,5.3,3.4,4.5,30.5,7.5,9.7,,,12.8,1.3,,17 juli,4 - 11 juli,1036
2013,Juli,Demoskop,25.3,5.6,3.2,3,33.7,7.8,8.9,,,11.6,0.9,20.3,4 juli,25 juni - 3 juli,1250
,,,,,,,,,,,,,,,,,
2013,Juni,Novus,26.6,5.4,3.8,4.4,34.4,6.7,8.7,,,9,1,16.2,29 juni,27 maj - 23 juni,2000
2013,Juni,Ipsos,26.5,6.4,4.1,4.3,33.1,6.6,10.5,,,7.3,1.1,18.7,28 juni,10 - 25 juni,2698
2013,Juni,Sentio Research,27.1,6.3,2.7,4.4,30,7.2,7.9,,,13.6,0.8,12.9,22 juni,13 - 20 juni,1015
2013,Juni,United Minds,25.8,6.3,3.7,3.8,32,7.2,8.9,,,10.7,1.7,12.1,17 juni,20 maj - 16 juni,1136
2013,Juni,Sifo,28.3,6,4,4.1,31,6.5,11,,,7.6,1.6,13.6,16 juni,3 - 13 juni,1925
2013,Juni,YouGov,25.3,6.2,4.5,3.4,30.5,6.9,10.2,,,11.5,1.5,,10 juni,8 maj - 4 juni,1431
2013,Juni,Demoskop,26.6,5.7,3.4,3.1,33.5,6.4,10.9,,,9.6,0.8,18.1,8 juni,28 maj - 5 juni,1250
2013,Juni,SCB,26.9,6,4.2,3.6,35.6,6.4,8.5,,,7.7,1.1,18.6,4 juni,2 - 27 maj,5098
2013,Juni,Ipsos,28.9,5.8,3.2,4.2,32.1,7,10.3,,,7,1.5,20.6,3 juni,13 - 28 maj,2159
,,,,,,,,,,,,,,,,,
2013,Maj,Novus,27.8,6.3,3.6,3.1,33.5,6.9,8.1,,,9.2,1.5,15.3,30 maj,29 apr - 26 maj,2000
2013,Maj,Skop,28.5,5.8,4.2,3.7,34.2,5.4,9.9,,,6.6,1.6,6,23 maj,29 apr - 16 maj,1044
2013,Maj,United Minds,26.9,5.4,2.8,4,32.7,6.8,8.5,,,11,1.8,12.7,20 maj,22 apr - 19 maj,1109
2013,Maj,Sifo,28.4,6.4,4.1,2.7,32.8,7,10.9,,,6.6,1.1,13.5,19 maj,6 - 16 maj,1922
2013,Maj,Sentio Research,27.2,4.3,2.4,4.3,31.6,6.1,8.4,,,13.6,2.1,14.1,14 maj,2 - 9 maj,1006
2013,Maj,YouGov,27.4,5.4,4.2,3.8,30.9,7.8,8.2,,,10.9,1.4,,14 maj,3 apr - 7 maj,1797
2013,Maj,Demoskop,29.1,5.5,3.3,2.9,32.9,5.3,9.2,,,9.9,1.8,17.8,9 maj,29 apr - 7 maj,1250
,,,,,,,,,,,,,,,,,
2013,April,Ipsos,29.5,6.6,4.8,3,33.7,6,8.2,,,6.7,1.4,20.8,28-Apr,4 - 23 april,2122
2013,April,Novus,27,6.1,3.7,4,34.4,6.5,8.6,,,8.9,0.8,17.5,25-Apr,25 mars - 21 april ,2000
2013,April,United Minds,26.9,5.9,4.1,4.5,31.8,5.8,9.3,,,10.1,1.8,12.7,22-Apr,18 mars - 21 april,1139
2013,April,Sentio Research,27.1,5.1,3.3,4.4,31.2,6.3,9.2,,,11.5,1.9,,20-Apr,10 - 17 april,1041
2013,April,Skop,30.2,6.6,4.2,2.5,32,6.3,8.3,,,7.4,2.5,7,17-Apr,26 mars - 11 april,1059
2013,April,Sifo,27.9,5.4,3.5,3.6,34.4,7,8.9,,,8,1.3,13.2,14-Apr,2 - 11 april,1923
2013,April,YouGov,28.4,5.9,2.7,4.3,31.9,5.9,8.6,,,10.8,1.5,,08-Apr,6 mars - 2 april,1428
2013,April,Demoskop,27.4,6.9,4,3.6,32.7,5.9,9.3,,,9.2,1,14.6,05-Apr,26 mars - 3 april,1250
2013,April,Ipsos,28,5.6,3.8,4,34.6,5.5,9.2,,,8,1.1,20.8,01-Apr,7 - 26 mars,2167
,,,,,,,,,,,,,,,,,
2013,Mars,Novus,28.3,6.2,3.3,3.7,32.1,6.3,9.6,,,9.1,1.4,18.3,28 mars,25 feb - 24 mars,2000
2013,Mars,Sentio Research,26.5,6.1,4.4,3.4,29,7.4,10.3,,,12.3,0.5,,21 mars,,1046
2013,Mars,United Minds,25.9,6.2,4.3,4.6,31.6,7.8,7.9,,,10.3,1.3,11.7,18 mars,17 feb - 17 mars,1158
2013,Mars,Sifo,27.3,5.6,3.8,3.3,35,5.4,9.3,,,9,1.4,13.9,17 mars,4 - 14 mars,1927
2013,Mars,YouGov,28.7,6.5,3.4,2.6,30.5,5.7,9.2,,,12.6,0.8,,11 mars,6 feb - 5 mars,1425
2013,Mars,Demoskop,27.8,5.4,3,3.4,32.3,6.2,9.6,,,11,1.3,17.8,8 mars,26 feb - 6 mars,1251
2013,Mars,Skop,29.5,8,4.3,3.9,32.9,5.8,8.2,,,7.3,0.1,9,8 mars,19 feb - 6 mars,1022
2013,Mars,Ipsos,28.1,5.2,3.8,4.2,33.1,5.5,9.1,,,10.2,0.8,21.9,2 mars,7 - 26 feb,2122
,,,,,,,,,,,,,,,,,
2013,Februari,Novus,29.1,5.2,3.4,3.5,31.9,6.6,9.1,,,10.2,1,16.8,28-Feb,28 jan - 24 feb,2000
2013,Februari,United Minds,27.6,4.7,4,3.3,32.9,6.2,9,,,11.1,1.2,10.9,18-Feb,21 jan - 16 feb,1139
2013,Februari,Sifo,29,6.2,3.6,3.6,31.3,5.7,11,,,8.5,1.2,13,17-Feb,4 - 14 feb,1928
2013,Februari,Sentio Research,27.6,6.4,3.7,3.7,30.7,6.6,7.8,,,13.1,0.6,23.8,14-Feb,5 - 12 feb,1044
2013,Februari,Demoskop,29.4,6.5,3.4,4.4,31.9,5.8,8.5,,,9.6,0.7,19.2,11-Feb,29 jan - 6 feb,1272
2013,Februari,YouGov,28.8,5.8,3.3,3.5,31.3,5.4,9.7,,,11.5,0.8,,11-Feb,9 jan - 5 feb,1426
2013,Februari,Ipsos,32.3,7.2,3.3,3.2,29.8,5.9,8.6,,,9,0.7,21.7,04-Feb,10 - 29 jan,2083
,,,,,,,,,,,,,,,,,
2013,Januari,Novus,29.7,5.8,4.1,3.8,31.5,5.5,9.3,,,9.4,0.9,15.1,31-Jan,2 - 27 jan,2000
2013,Januari,United Minds,28.3,5.8,4.4,3.1,31.9,6.9,8.4,,,10.1,1.1,12.8,21-Jan,17 dec - 20 jan,1451
2013,Januari,Sifo,29.3,6.2,3.2,4.5,33.6,4.6,9,,,9.1,0.4,14,20-Jan,7 - 17 jan,1935
2013,Januari,Sentio Research,28.3,5.1,2.9,4.7,30,6.5,7.8,,,14,0.7,11.4,17-Jan,10 - 16 jan,1034
2013,Januari,YouGov,27.4,4.9,4.5,4.5,31.4,6.1,8.3,,,12.5,0.5,,14-Jan,5 dec - 8 jan,1787
2013,Januari,Demoskop,30.5,6.4,4.5,2.9,32.7,5.9,7.3,,,9.2,0.7,13.5,12-Jan,2 - 10 jan,1000
,,,,,,,,,,,,,,,,,
2012,December,Skop,29.1,6.2,3.9,4.7,31.5,5.3,10.3,,,7.8,1.2,9,26-Dec,1 - 18 dec,1003
2012,December,Ipsos,32.3,5.7,3.4,3.5,33.1,5.3,8,,,8.2,0.5,22.9,22-Dec,29 nov - 18 dec,2090
2012,December,Novus,28.4,6.1,5.1,3.4,32.2,5.9,9,,,9,0.9,12.3,22-Dec,26 nov - 16 dec,2000
2012,December,United Minds,28.9,4.9,4.8,3.8,32,6.7,8.2,,,9.7,1.1,11.4,17-Dec,12 nov - 16 dec,1486
2012,December,Sifo,28.2,5.4,4.5,3.6,32.1,5.9,9.7,,,10,0.7,14.9,17-Dec,3 - 13 dec,1897
2012,December,Sentio Research,28,5,4,4.5,31.7,5.6,8.3,,,11.6,1.3,,17-Dec,6 - 12 dec,1045
2012,December,Demoskop,33.5,5.9,2.9,2.8,32,5.1,8.3,,,8.6,0.9,14,10-Dec,27 nov - 5 dec,1000
2012,December,YouGov,30.3,5.7,3.8,3.5,31.3,6.7,7.1,,,10.9,0.7,,10-Dec,7 nov - 4 dec,1418
2012,December,SCB,28.1,5.5,4.4,3.8,34.8,5.8,8.6,,,7.9,1.2,17.8,05-Dec,1-25 nov,5479
,,,,,,,,,,,,,,,,,
2012,November,Ipsos,29.7,5.3,4.4,3.2,34.4,4.5,8.3,,,8.8,1.4,,30-Nov,8 - 27 nov,
2012,November,Novus,28.7,5.4,4.1,3.2,32.9,6.6,9.6,,,8.6,0.9,12.7,29-Nov,22 okt - 25 nov,2500
2012,November,Skop,32.2,4.9,3.6,3.2,33.3,6.7,7.5,,,6.4,2.2,,23-Nov,30 okt - 21 nov,1011
2012,November,Sentio Research,28.4,6.7,3,2.7,31.7,7,6.8,,,12.3,1.4,12,22-Nov,15 - 21 nov,1002
2012,November,Sifo,28.7,5.3,4.2,3.5,33.9,4.7,10.1,,,8.5,1.2,13.2,18-Nov,5 - 15 nov,1909
2012,November,United Minds,27.8,6.3,5.1,3.9,31,5.8,8,,,11.2,0.8,11.7,12-Nov,14 okt - 11 nov,1255
2012,November,YouGov,30.7,4.9,4.3,4,32.8,7.4,7,,,8.2,0.7,,12-Nov,3 okt - 6 nov,1777
2012,November,Demoskop,30.3,5.8,4.5,3.7,33.1,4.7,8,,,9,1,13.7,09-Nov,30 okt - 7 nov,1003
,,,,,,,,,,,,,,,,,
2012,Oktober,Ipsos,29.4,5.3,4.2,3.8,34.8,6.3,7.2,,,8.5,0.5,20.3,26 okt,3 - 23 okt,2331
2012,Oktober,Novus,31,6.2,3.9,3.1,33.8,5.7,9.1,,,6.5,0.7,13,25 okt,24 sept - 21 okt,2000
2012,Oktober,Sentio Research,26.3,6.5,4,4,33.1,6.8,7.7,,,10.1,1.5,11.8,19 okt,oktober,1006
2012,Oktober,United Minds,28.1,6.1,4.2,3.8,31.4,6.4,8.8,,,9.9,1.3,12.5,15 okt,17 sept - 13 okt,1174
2012,Oktober,Sifo,28.8,5.6,4.4,3.4,32.1,6.5,10,,,7.7,1.4,12.3,14 okt,1 - 11 okt,1910
2012,Oktober,YouGov,29.8,5.2,5.6,3.1,31.7,6.5,8.1,,,9.3,0.7,,10 okt,5 sept - 2 okt,1421
2012,Oktober,Demoskop,31.9,7.2,3.9,2.9,32.6,5.9,7.7,,,7.1,0.8,13.2,6 okt,25 sept - 3 okt,1000
,,,,,,,,,,,,,,,,,
2012,September,Ipsos,30.6,6.3,3.7,3.2,34.7,4.9,9.9,,,5.8,1,21.1,29-Sep,6 - 25 sept,2256
2012,September,Skop,30.3,6.5,4.1,2.9,33.5,6,9.8,,,6.3,0.5,9,27-Sep,3 - 24 sept,1000
2012,September,Novus,31.9,5.5,4.1,3.3,33.9,5.6,8.9,,,6.1,0.7,14.6,27-Sep,27 aug - 23 sept,2000
2012,September,Sentio Research,28.5,4.9,3.6,3.5,32.3,8.2,7.9,,,9.9,1.2,12.3,27-Sep,september,1046
2012,September,United Minds,27.8,5.8,3.3,4.7,33.1,6.9,8.6,,,8.8,1,13.1,17-Sep,20 aug - 16 sept,1154
2012,September,Sifo,28.7,6.6,4.8,3.8,33.3,5.9,8.9,,,7.2,0.8,14.7,16-Sep,3 - 13 sept,1913
2012,September,YouGov,29.3,6.4,4.6,3.9,33.6,5.3,8.4,,,7.3,1.3,,10-Sep,8 aug - 4 sept,1430
2012,September,Demoskop,28.7,6.3,5.1,3,34.8,5.8,8.9,,,6.3,1,18.4,07-Sep,28 aug - 5 sept,1000
2012,September,Ipsos,30.9,5.5,4.9,4,35.5,6.1,7.8,,,4.9,0.4,22.5,03-Sep,9 - 28 aug,2086
,,,,,,,,,,,,,,,,,
2012,Augusti,Sentio Research,26.6,6.8,3.4,4.1,31.5,6.4,9.7,,,8.8,2.5,11,30-Aug,augusti,1037
2012,Augusti,Novus,30.2,5.7,3.8,3.1,34.8,5.8,9.5,,,5.9,1.2,13,29-Aug,30 juli - 26 aug,2000
2012,Augusti,Sifo,28.5,6.2,4.6,3.4,34.3,6.2,9.9,,,6.2,0.7,15.1,26-Aug,13 - 22 aug,1921
2012,Augusti,United Minds,27,5.9,4.8,4.1,34,5.9,8.3,,,8.4,1.5,12.9,20-Aug,23 juli - 19 aug,1187
2012,Augusti,YouGov,28.2,5.9,4.8,3.6,34.4,5.1,9.6,,,7.6,0.8,,13-Aug,4 juli - 7 aug,1797
,,,,,,,,,,,,,,,,,
2012,Juli,Sentio Research,28.8,4.2,4.2,3.1,34.1,7.1,8.3,,,8.7,1.5,23.1,30 juli,juli,1022
2012,Juli,Skop,31,6.5,4.8,3.7,34.2,6.5,8.2,,,4.7,0.5,11,13 juli,20 juni - 9 juli,1003
2012,Juli,Demoskop,30.8,6.6,3.5,3.7,35.4,4.4,9.1,,,6,0.7,13.8,6 juli,26 juni - 4 juli,1000
2012,Juli,YouGov,28.2,6.5,5,3.1,35.7,5.4,9.6,,,6.4,1,,EJ PUB,6 juni - 3 juli,1409
2012,Juli,Novus,29.5,5.6,5.1,3.9,33.8,5.8,9.3,,,5.7,1.3,10.4,3 juli,28 maj - 29 juni,2387
2012,Juli,United Minds,27,7.6,4.1,3.4,33.6,6.9,7.6,,,8.3,1.5,10.9,1 juli,4 juni - 29 juni,1153
2012,Juli,Sentio Research,29,7.1,3.9,3.5,32.5,6.3,8.5,,,7.9,1.3,10.8,1 juli,juni,1018
,,,,,,,,,,,,,,,,,
2012,Juni,Ipsos (Synovate),30.7,5.2,5.7,4.2,34.4,5.2,9.5,,,4.7,0.4,19.5,29 juni,7 - 26 juni,2222
2012,Juni,Sifo,27.6,5.6,4.8,3.9,38.8,4.4,8.6,,,5.4,0.9,11.9,17 juni,4 - 14 juni,1919
2012,Juni,Skop,31.1,5.5,5.4,2.9,31.9,5.4,9.8,,,7,0.9,8,15 juni,14 maj - 5 juni,1000
2012,Juni,YouGov,29,6.8,4.5,3.9,34.5,6.1,8.1,,,7.1,0,,10 juni,9 maj - 5 juni,1380
2012,Juni,Demoskop,30.8,4.9,4.4,2.4,35.7,6.9,7.7,,,6.6,0.7,12.9,8 juni,30 maj - 6 juni,1000
2012,Juni,SCB,28.6,5.5,4.7,3.7,37.3,5.9,8.1,,,5.4,0.8,18.9,4 juni,2 - 27 maj,5473
2012,Juni,United Minds,27.1,6.6,3.4,3.9,34.6,6.5,8.2,,,8.7,0.9,10.5,4 juni,7 maj - 3 juni,1193
2012,Juni,Ipsos (Synovate),30.3,6.8,4.7,3.6,35.8,4.8,7.8,,,5.9,0.3,19.2,1 juni,10 - 29 maj,2243
,,,,,,,,,,,,,,,,,
2012,Maj,Sentio Research,27.3,5.2,2.6,3.5,35.8,5.7,8.6,,,10,1.3,,24 maj,maj,1048
2012,Maj,Novus,28.3,6.2,4.5,4.2,36.6,6.1,8.2,,,4.6,1.3,10,24 maj,24 april - 21 maj,2000
2012,Maj,YouGov,31.1,5.4,5.1,3.6,34.3,5.9,8.2,,,6,0.5,,14 maj,4 april - 8 maj,1747
