År,Månad,Företag,M,L,C,KD,S,V,MP,FI,PP,SD,Övriga,Osäkra,Publicerad,Intervjuperiod,Intervjuer
2015,September,Aftonbladet,21.1,5.1,9.6,4.2,24.9,6.2,4.8,,,21.5,2.5,,10-Sep,2 - 9 sept,1808
2015,September,Demoskop,23.1,5.3,7.2,3.5,25.2,6.5,6.4,2.3,,19.5,3.4,10.3,05-Sep,25 aug - 2 sept,1262
,,,,,,,,,,,,,,,,,
2015,Augusti,Ipsos,23.8,5.4,6.2,3.5,26.8,6.6,6.8,2,,17.8,3.1,14.6,28-Aug,14 - 24 aug,1201
2015,Augusti,Novus,23.3,5.2,6.7,3.3,25.1,7.3,6.7,2.1,,19.4,3,6.8,25-Aug,3 - 23 aug,3005
2015,Augusti,Sifo,24.5,4.7,6.1,4,26.3,6.5,7.6,1.7,,17.8,2.6,13.8,22-Aug,10 - 20 aug,1930
2015,Augusti,Sentio,21.1,4.6,7.8,2,23.5,7.5,6.4,2.3,0.4,23.4,3.7,,20-Aug,13 - 19 aug,1013
2015,Augusti,Aftonbladet,21.4,4.2,8.6,4.5,25.5,6.5,5.7,,,20.8,2.8,,20-Aug,11 - 19 aug,2132
2015,Augusti,YouGov,21,4.4,5.6,3.7,23.4,6.8,6.4,2.8,,25.2,3.6,,20-Aug,14 - 17 aug,1527
,,,,,,,,,,,,,,,,,
2015,Juli,Sentio,20.8,4.4,6.7,3.1,24.1,6.4,6.4,,,23.3,4.8,,23 juli,16 - 22 juli,1039
2015,Juli,Demoskop,23.1,4.7,6.6,4.2,25.5,6.8,7.1,2.4,,18.7,3.3,11.9,9 juli,30 juni - 7 juli,1255
,,,,,,,,,,,,,,,,,
2015,Juni,Skop,25.4,4.6,7.4,3.6,29.7,5.7,7.5,1.6,,14,2.6,8,29 juni,8 - 25 juni,1006
2015,Juni,Aftonbladet,24.3,4,8,3.1,27.3,6.7,5.7,,,17.9,3,,27 juni,20 - 24 juni,2483
2015,Juni,Ipsos,26.6,5.8,5.4,2.7,27.1,6.4,6.5,2.3,,15.9,3.5,12.4,25 juni,5 - 15 juni,1201
2015,Juni,Sentio,23.8,3.7,6.3,2.1,23.9,6.9,6.8,,,22.1,4.4,,18 juni,11 - 17 juni,1025
2015,Juni,YouGov,23.6,5.2,6.6,3.4,24.7,6.9,5.9,2.3,,20.1,3.6,,18 juni,12 - 15 juni,1543
2015,Juni,Novus,25,4.9,6.4,4,26.4,6.5,6,1.8,,18,2.8,8.4,18 juni,18 maj - 14 juni,3942
2015,Juni,Sifo,25,4.6,7.9,4.1,27.1,6.2,6.6,2.4,,15.2,3.4,13,14 juni,1 - 11 juni,1941
2015,Juni,Demoskop,26.1,4.7,7.3,3.7,25.9,6.8,6.8,1.9,,15.7,3,13,8 juni,27 maj - 3 juni,1250
2015,Juni,SCB,25.6,4.9,6.4,3.7,30,6.2,6.6,,,14.4,2.3,13.2,5 juni (redigerad),27 apr - 27 maj,6067
,,,,,,,,,,,,,,,,,
2015,Maj,Sentio,24.3,4.2,8.5,2.2,24.3,6.5,5.5,,,19.4,5.1,,30 maj,21 - 27 maj,1043
2015,Maj,Aftonbladet,23.3,4.6,8.5,4,26.9,6.7,5.6,1.9,,17.2,5.6,,29 maj,10 - 25 maj,2411
2015,Maj,Ipsos,26.1,5.4,6.8,3.5,27.7,6.8,6.7,1.9,,14,3,14.8,28 maj,12 - 25 maj,1200
